Subject Area,Catalog Number,Section,Course Title,Room Number,Start Time,End Time,Day
ANTH,101,GS01,Introduction to Anthropology,6-152,10:00,10:50,MWF
ANTH,101,GS02,Introduction to Anthropology,6-156,9:00,9:50,MWF
ANTH,101,GS03,Introduction to Anthropology,6-152,12:30,1:50,TR
ANTH,101,GS04,Introduction to Anthropology,5-158,8:00,9:20,TR
ANTH,101,GS05,Introduction to Anthropology,6-136,2:00,2:50,MWF
ANTH,101,GS06,Introduction to Anthropology,6-136,8:00,8:50,MWF
ANTH,101,GS07,Introduction to Anthropology,6-214,9:30,10:50,TR
ANTH,101,OP01,Introduction to Anthropology,6-152,6:00,8:50,M
ANTH,101,OP95,Introduction to Anthropology,V-MCO,,,
ANTH,110,GS01,"Gender, Age and Culture",6-152,11:00,11:50,MWF
ANTH,110,GS02,"Gender, Age and Culture",5-158,2:00,3:20,TR
ANTH,110,OP95,"Gender, Age and Culture",V-MCO,,,
ANTH,150,GS01,Race and Racism in Modern World,6-132,3:30,4:50,TR
ANTH,150,GS02,Race and Racism in Modern World,6-152,12:00,12:50,MWF
ANTH,150,GS03,Race and Racism in Modern World,6-152,1:00,1:50,MWF
ANTH,206,AS01,Introduction to Archaeology,7-327,1:00,1:50,MW
ANTH,206,X01L,Introduction to Archaeology,7-333,10:00,10:50,R
ANTH,206,X02L,Introduction to Archaeology,7-333,11:00,11:50,R
ANTH,206,X03L,Introduction to Archaeology,7-333,12:00,12:50,R
ANTH,207,AS01,Introduction to Social and Cultural Anthropology,6-256,2:00,2:50,MWF
ANTH,208,AS01,Introduction to Linguistic Anthropology,7-325,12:00,12:50,MWF
ANTH,209,AS01,Biological Anthropology,7-277,3:00,3:50,MW
ANTH,209,X01L,Biological Anthropology,7-333,10:00,10:50,T
ANTH,209,X02L,Biological Anthropology,7-333,11:00,11:50,T
ANTH,209,X03L,Biological Anthropology,7-333,12:00,12:50,T
ANTH,219,OP95,World Prehistory,V-MCO,,,
ANTH,245,AS01,Ethnography of Mediterranean Peoples,6-348,11:00,11:50,MWF
ANTH,250,AS01,Introduction to Canadian Indigenous Peoples,6-238,3:30,4:50,TR
ANTH,262,OP01,Peoples and Cultures of South America,5-329,6:00,8:50,W
ANTH,318,AS01,Political Anthropology,7-341,8:00,8:50,MWF
ANTH,340,AS01,Canadian Indigenous Issues,7-122,2:00,3:20,TR
ANTH,375,AS01,Zooarchaeology,7-333,12:00,12:50,W
ANTH,375,X01L,Zooarchaeology,7-333,12:00,1:50,F
ANTH,375,X02L,Zooarchaeology,7-333,2:00,3:50,F
ANTH,394,AS01,Ethnographic Research Methods,7-122,11:00,11:50,MWF
ANTH,395,AS01,Archaeological Method Issues,7-233,9:00,9:50,MWF
ANTH,399,AS01,Ecological Perspectives in Anthropology,6-133,10:00,10:50,MWF
ANTH,411,AS01,Environmental Archaeology,7-165,8:00,9:20,TR
ANTH,420,AS01,Culture and Globalization,7-165,11:00,1:50,T
ANTH,440,AS01,The Anthropology of Colonial Encounters,7-143,2:00,4:50,M
ANTH,499A,AS01,Honours Thesis I,ED-OC,,,
ASTR,120,AS01,The Astronomy of the Solar System,6-152,8:00,9:20,TR
BICM,200,AS01,Introductory Biochemistry,5-309,11:00,12:20,TR
BICM,320,AS01,Structure and Function of Biomolecules,5-309,8:00,9:20,TR
BIOL,101,AS01,Current Issues in Human Biology,6-156,10:00,10:50,MWF
BIOL,101,AS02,Current Issues in Human Biology,6-214,8:00,8:50,MWF
BIOL,101,AS03,Current Issues in Human Biology,5-158,3:30,4:50,TR
BIOL,102,AS01,Nutrition and the Body,9-202,11:00,12:20,TR
BIOL,102,AS02,Nutrition and the Body,6-132,2:00,2:50,MWF
BIOL,103,AS01,Humans and Their Environment,7-286,12:30,1:50,MW
BIOL,103,AS02,Humans and Their Environment,11-463,8:00,9:20,TR
BIOL,107,AS01,Introduction to Cell Biology,7-286,11:00,11:50,MWF
BIOL,107,AS02,Introduction to Cell Biology,5-158,4:00,4:50,MWF
BIOL,107,AS03,Introduction to Cell Biology,5-152,11:00,12:20,TR
BIOL,107,AS04,Introduction to Cell Biology,6-132,3:00,3:50,MWF
BIOL,107,AS05,Introduction to Cell Biology,6-136,4:00,4:50,MWF
BIOL,107,X01L,Introduction to Cell Biology,6-168,8:00,10:50,M
BIOL,107,X02L,Introduction to Cell Biology,6-168,12:00,2:50,M
BIOL,107,X03L,Introduction to Cell Biology,6-168,5:00,7:50,M
BIOL,107,X04L,Introduction to Cell Biology,6-168,8:00,10:50,T
